resource_id,tool_id,tool_route,relationship
cbt-skills-p003,,,no-specialized-tool
cbt-skills-p004,,,no-specialized-tool
cbt-skills-p005,,,no-specialized-tool
cbt-skills-p006,,,no-specialized-tool
cbt-skills-p007,,,no-specialized-tool
cbt-skills-p008,,,no-specialized-tool
cbt-skills-p009,,,no-specialized-tool
cbt-skills-p010,,,no-specialized-tool
cbt-skills-p012,,,no-specialized-tool
cbt-skills-p013,,,no-specialized-tool
cbt-skills-p014,,,no-specialized-tool
cbt-skills-p015,,,no-specialized-tool
cbt-skills-p016,,,no-specialized-tool
cbt-skills-p017,,,no-specialized-tool
cbt-skills-p018,,,no-specialized-tool
cbt-skills-p020,,,no-specialized-tool
cbt-skills-p021,,,no-specialized-tool
cbt-skills-p022,,,no-specialized-tool
cbt-skills-p023,,,no-specialized-tool
cbt-skills-p024,,,no-specialized-tool
cbt-skills-p025,,,no-specialized-tool
cbt-skills-p027,,,no-specialized-tool
cbt-skills-p028,,,no-specialized-tool
cbt-skills-p029,,,no-specialized-tool
cbt-skills-p030,,,no-specialized-tool
cbt-skills-p031,,,no-specialized-tool
cbt-skills-p032,,,no-specialized-tool
cbt-skills-p033,,,no-specialized-tool
cbt-skills-p034,,,no-specialized-tool
cbt-skills-p036,,,no-specialized-tool
cbt-skills-p037,,,no-specialized-tool
cbt-skills-p038,,,no-specialized-tool
cbt-skills-p039,,,no-specialized-tool
cbt-skills-p040,,,no-specialized-tool
cbt-skills-p041,worry-tree,/skill-finder/worry-tree/,source-for-tool
cbt-skills-p042,worry-tree,/skill-finder/worry-tree/,source-for-tool
cbt-skills-p044,,,no-specialized-tool
cbt-skills-p045,exposure,/skill-finder/exposure/,supporting-resource
cbt-skills-p047,,,no-specialized-tool
cbt-skills-p048,,,no-specialized-tool
cbt-skills-p049,,,no-specialized-tool
cbt-skills-p050,exposure,/skill-finder/exposure/,source-for-tool
cbt-skills-p051,exposure,/skill-finder/exposure/,supporting-resource
cbt-skills-p052,,,no-specialized-tool
cbt-skills-p053,exposure,/skill-finder/exposure/,source-for-tool
cbt-skills-p054,exposure,/skill-finder/exposure/,source-for-tool
distress-tolerance-p003,,,no-specialized-tool
distress-tolerance-p004,,,no-specialized-tool
distress-tolerance-p005,,,no-specialized-tool
distress-tolerance-p006,,,no-specialized-tool
distress-tolerance-p007,,,no-specialized-tool
distress-tolerance-p008,,,no-specialized-tool
distress-tolerance-p009,,,no-specialized-tool
distress-tolerance-p011,,,no-specialized-tool
distress-tolerance-p012,,,no-specialized-tool
distress-tolerance-p013,,,no-specialized-tool
distress-tolerance-p014,,,no-specialized-tool
distress-tolerance-p015,,,no-specialized-tool
distress-tolerance-p016,,,no-specialized-tool
distress-tolerance-p018,,,no-specialized-tool
distress-tolerance-p019,,,no-specialized-tool
distress-tolerance-p020,,,no-specialized-tool
distress-tolerance-p021,,,no-specialized-tool
distress-tolerance-p022,,,no-specialized-tool
distress-tolerance-p023,,,no-specialized-tool
distress-tolerance-p025,,,no-specialized-tool
distress-tolerance-p026,,,no-specialized-tool
distress-tolerance-p027,,,no-specialized-tool
distress-tolerance-p028,,,no-specialized-tool
distress-tolerance-p030,,,no-specialized-tool
distress-tolerance-p031,,,no-specialized-tool
distress-tolerance-p032,,,no-specialized-tool
distress-tolerance-p033,,,no-specialized-tool
distress-tolerance-p035,,,no-specialized-tool
distress-tolerance-p036,,,no-specialized-tool
distress-tolerance-p037,,,no-specialized-tool
distress-tolerance-p038,,,no-specialized-tool
distress-tolerance-p039,,,no-specialized-tool
distress-tolerance-p040,,,no-specialized-tool
distress-tolerance-p041,,,no-specialized-tool
distress-tolerance-p043,,,no-specialized-tool
distress-tolerance-p044,,,no-specialized-tool
distress-tolerance-p046,,,no-specialized-tool
distress-tolerance-p047,,,no-specialized-tool
distress-tolerance-p048,,,no-specialized-tool
emotion-regulation-p003,,,no-specialized-tool
emotion-regulation-p004,,,no-specialized-tool
emotion-regulation-p005,,,no-specialized-tool
emotion-regulation-p006,,,no-specialized-tool
emotion-regulation-p007,,,no-specialized-tool
emotion-regulation-p008,emotion-explorer,/skill-finder/emotions/,source-for-tool
emotion-regulation-p009,emotion-explorer,/skill-finder/emotions/,source-for-tool
emotion-regulation-p011,emotion-explorer,/skill-finder/emotions/,supporting-resource
emotion-regulation-p012,emotion-explorer,/skill-finder/emotions/,supporting-resource
emotion-regulation-p014,,,no-specialized-tool
emotion-regulation-p015,,,no-specialized-tool
emotion-regulation-p016,,,no-specialized-tool
emotion-regulation-p017,,,no-specialized-tool
emotion-regulation-p018,,,no-specialized-tool
emotion-regulation-p019,,,no-specialized-tool
emotion-regulation-p020,,,no-specialized-tool
emotion-regulation-p021,,,no-specialized-tool
emotion-regulation-p022,,,no-specialized-tool
emotion-regulation-p023,,,no-specialized-tool
emotion-regulation-p024,,,no-specialized-tool
emotion-regulation-p025,emotion-explorer,/skill-finder/emotions/,supporting-resource
emotion-regulation-p026,,,no-specialized-tool
emotion-regulation-p027,,,no-specialized-tool
emotion-regulation-p029,,,no-specialized-tool
emotion-regulation-p030,,,no-specialized-tool
emotion-regulation-p031,,,no-specialized-tool
emotion-regulation-p032,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p033,,,no-specialized-tool
emotion-regulation-p034,change-emotion,/skill-finder/change-emotion/,source-for-tool
emotion-regulation-p036,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p037,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p038,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p039,,,no-specialized-tool
emotion-regulation-p040,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p041,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p042,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p043,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p044,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p045,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p046,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p047,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p048,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p049,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p050,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p051,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p052,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p053,change-emotion,/skill-finder/change-emotion/,supporting-resource
emotion-regulation-p054,,,no-specialized-tool
emotion-regulation-p055,,,no-specialized-tool
emotion-regulation-p057,,,no-specialized-tool
emotion-regulation-p058,,,no-specialized-tool
emotion-regulation-p059,pleasant-event,/skill-finder/pleasant-event/,supporting-resource
emotion-regulation-p060,pleasant-event,/skill-finder/pleasant-event/,supporting-resource
emotion-regulation-p061,pleasant-event,/skill-finder/pleasant-event/,supporting-resource
emotion-regulation-p062,,,no-specialized-tool
emotion-regulation-p063,values,/skill-finder/values/,supporting-resource
emotion-regulation-p064,values,/skill-finder/values/,supporting-resource
emotion-regulation-p065,values,/skill-finder/values/,supporting-resource
emotion-regulation-p066,pleasant-event,/skill-finder/pleasant-event/,supporting-resource
emotion-regulation-p067,pleasant-event,/skill-finder/pleasant-event/,supporting-resource
emotion-regulation-p068,,,no-specialized-tool
emotion-regulation-p069,,,no-specialized-tool
emotion-regulation-p071,,,no-specialized-tool
emotion-regulation-p072,,,no-specialized-tool
emotion-regulation-p073,,,no-specialized-tool
emotion-regulation-p074,,,no-specialized-tool
emotion-regulation-p075,,,no-specialized-tool
emotion-regulation-p076,,,no-specialized-tool
emotion-regulation-p077,,,no-specialized-tool
emotion-regulation-p078,,,no-specialized-tool
general-p002,,,no-specialized-tool
general-p003,,,no-specialized-tool
general-p004,,,no-specialized-tool
general-p005,,,no-specialized-tool
general-p006,,,no-specialized-tool
goal-setting-p002,goal-builder,/skill-finder/goal-builder/,supporting-resource
goal-setting-p003,,,no-specialized-tool
goal-setting-p004,goal-builder,/skill-finder/goal-builder/,source-for-tool
goal-setting-p005,goal-builder,/skill-finder/goal-builder/,source-for-tool
goal-setting-p006,goal-builder,/skill-finder/goal-builder/,source-for-tool
goal-setting-p007,,,no-specialized-tool
goal-setting-p008,,,no-specialized-tool
goal-setting-p010,,,no-specialized-tool
goal-setting-p033,,,no-specialized-tool
goal-setting-p034,,,no-specialized-tool
interpersonal-effectiveness-p003,,,no-specialized-tool
interpersonal-effectiveness-p004,,,no-specialized-tool
interpersonal-effectiveness-p005,,,no-specialized-tool
interpersonal-effectiveness-p006,,,no-specialized-tool
interpersonal-effectiveness-p007,,,no-specialized-tool
interpersonal-effectiveness-p009,,,no-specialized-tool
interpersonal-effectiveness-p010,,,no-specialized-tool
interpersonal-effectiveness-p011,,,no-specialized-tool
interpersonal-effectiveness-p012,,,no-specialized-tool
interpersonal-effectiveness-p013,,,no-specialized-tool
interpersonal-effectiveness-p014,,,no-specialized-tool
interpersonal-effectiveness-p015,values,/skill-finder/values/,supporting-resource
interpersonal-effectiveness-p017,dear-man,/skill-finder/dear-man/,supporting-resource
interpersonal-effectiveness-p018,dear-man,/skill-finder/dear-man/,supporting-resource
interpersonal-effectiveness-p019,dear-man,/skill-finder/dear-man/,supporting-resource
interpersonal-effectiveness-p020,dear-man,/skill-finder/dear-man/,source-for-tool
interpersonal-effectiveness-p022,,,no-specialized-tool
interpersonal-effectiveness-p023,,,no-specialized-tool
interpersonal-effectiveness-p024,,,no-specialized-tool
interpersonal-effectiveness-p025,,,no-specialized-tool
interpersonal-effectiveness-p026,,,no-specialized-tool
